Neighborhood,Population,male,female,area
AB Road,311700,161893,149807,22.99
Abhinandan Nagar Road,108602,56406,52196,8.27
Alok Nagar Row Houses,378272,196441,181831,383.37
Annapurna Road,60595,31472,29123,2.46
Anoop Nagar,5665,2942,2723,0.21
Ashish Nagar,33536,17418,16118,6.17
Bairathi Colony,8315,4319,3996,0.26
Bengali Square,6693,3476,3217,1.26
Bhagirath Pura,78392,40716,37676,6.09
Bicholi Hapsi Road,8315,4319,3996,0.26
Bicholi Mardana Road,33536,17418,16118,6.17
Bypass Road,53463,27768,25695,2.53
Chhavni,195334,10146,9388,0.66
Dhar Road,17440,9058,8382,1.06
Girdhar Nagar,6693,3476,3217,1.26
IDA Scheme 140,9910,5147,4763,1.38
Indore - Pithampur Road,33536,17418,16118,6.17
Jail Road,6182,3211,2971,0.18
Jawahar Marg,17440,9058,8382,1.06
Kalindi Kunj,6182,3211,2971,0.18
Kalindi Mid Town,6693,3476,3217,1.26
Kanadia Road,37827,19644,18183,20.37
Keshar Bagh Road,2753,1430,1323,0.42
Khajrana Road,72433,37620,34813,6.99
Khajuri Bazaar,149050,77414,71636,6.74
Khandwa Road,28926,15024,13902,2.28
Khatiwala Tank,89991,46740,49251,4.12
Lokmanya Nagar,107816,55998,51818,6.35
Maanavta Nagar,17440,9058,8382,1.06
Manik Bagh Road,2565,1280,1185,0.28
Manishpuri,9597,4985,4612,0.45
Manorama Ganj,19851,10292,9523,0.71
MG Road,8315,4319,3996,0.26
Morya Hills,17125,8894,8231,2.4
MR 10 Road,53463,27768,25695,2.53
MTH Compound,17181,8924,8257,0.56
Nai Duniya,17440,9058,8382,1.06
Nanda Nagar,53463,27768,25695,2.53
New Palasia,61258,31816,29442,2.11
Nihalpur,42024,21827,20197,1.38
Niranjanpur Circle,13418,6969,6449,1.29
Old Palasia,15026,7804,7222,0.48
Palakhedi,1718,893,825,0.3
Pardesi Pura,53463,27768,25695,2.53
Pipliya Road,17125,8894,8231,2.4
Pipliyahana Square,3230,1678,1552,0.47
Race Course Road,78392,40716,37676,6.09
Rajendra Nagar,53186,29180,27003,6.31
Rajwada,311700,161893,149807,22.99
Rani Sati Gate,11727,6091,5636,0.57
Regional Park Road,29750,15452,14298,5.14
Ring Road,13418,6969,6449,1.29
RNT Marg,12657,6574,6083,0.57
Sainath Colony,77085,40037,37048,3.58
Sanvid Nagar,10051,5221,4830,0.36
Sapna Sangeeta Road,8027,4169,3858,0.63
Sarv Suvidha Nagar,42024,21827,20197,1.38
Scheme No.54,24814,12888,11926,1.04
Shiv Shakti Nagar Road,250456,130084,120372,13.72
Shree Nagar Extension,12657,6574,6083,0.57
Siyaganj,10527,5468,5059,0.38
Sneh Nagar,12657,6574,6083,0.57
Snehlataganj,78392,40716,37676,6.09
South Tukoganj,8027,4169,3858,0.63
Super Corridor,120435,61972,58463,32.45
Telephone Nagar,8122,4218,,0.33
Tilak Nagar Main Road,77085,40037,37048,3.58
Tukoganj,42024,21827,20197,1.38
Ujjain Road,15339,7882,,3.39
Vandana Nagar Main Road,8027,4169,3858,0.63
Vijay Nagar,125389,65125,60264,5.73
Vishnu Puri Colony,18158,9431,8727,0.94
White Church Colony,8837,4590,4247,0.75
Yeshwant Niwas Road,26636,13835,12801,1.49
YN Road,26636,13835,12801,1.49
