Neighborhood,Avg Price for sell per sq.ft
AB Road,2985
Abhinandan Nagar Road,2833
Alok Nagar Row Houses,2750
Annapurna Road,4412
Anoop Nagar,3350
Ashish Nagar,4762
Bairathi Colony,5500
Bengali Square,3293
Bhagirath Pura,2700
Bicholi Hapsi Road,6350
Bicholi Mardana Road,2821
Bypass Road,3600
Chhavni,2441
Dhar Road,2591
Girdhar Nagar,4306
IDA Scheme 140,6350
Indore - Pithampur Road,6000
Jail Road,9039
Jawahar Marg,5600
Kalindi Kunj,3125
Kalindi Mid Town,3700
Kanadia Road,2900
Keshar Bagh Road,5340
Khajrana Road,2752
Khajuri Bazaar,4240
Khandwa Road,2616
Khatiwala Tank,3834
Lokmanya Nagar,6018
Maanavta Nagar,2650
Manik Bagh Road,4318
Manishpuri,4158
Manorama Ganj,7000
MG Road,8500
Morya Hills,3500
MR 10 Road,4500
MTH Compound,4000
Nai Duniya,3000
Nanda Nagar,4577
New Palasia,5669
Nihalpur,3468
Niranjanpur Circle,3800
Old Palasia,4669
Palakhedi,2614
Pardesi Pura,4395
Pipliya Road,4685
Pipliyahana Square,4325
Race Course Road,5200
Rajendra Nagar,3000
Rajwada,9039
Rani Sati Gate,4500
Regional Park Road,4318
Ring Road,5810
RNT Marg,7333
Sainath Colony,3360
Sanvid Nagar,4000
Sapna Sangeeta Road,4166
Sarv Suvidha Nagar,3034
Scheme No.54,4550
Shiv Shakti Nagar Road,4565
Shree Nagar Extension,3700
Siyaganj,9039
Sneh Nagar,4363
Snehlataganj,3735
South Tukoganj,7333
Super Corridor,3377
Telephone Nagar,3931
Tilak Nagar Main Road,3200
Tukoganj,4814
Ujjain Road,4450
Vandana Nagar Main Road,3443
Vijay Nagar,4500
Vishnu Puri Colony,2974
White Church Colony,2441
Yeshwant Niwas Road,2441
YN Road,2441
